ID,DATOP,FLTID,DEPSTN,ARRSTN,STD,STA,STATUS,AC,target,target category,Duration,,
train_id_2081,1/25/2016,TU,TUN,MRS,1/25/2016 7:55,1/25/2016 9:30,ATA,TU 32AIMP,42,Medium,1:35:00,,706
train_id_2085,1/26/2016,TU,ORY,TUN,1/26/2016 10:55,1/26/2016 13:20,ATA,TU 320IMV,12,Common,2:25:00,,374
train_id_2093,1/27/2016,TU,ORY,TUN,1/27/2016 10:55,1/27/2016 13:15,ATA,TU 32AIMI,22,Common,2:20:00,,701
train_id_2094,1/29/2016,TU,TUN,MRS,1/29/2016 7:55,1/29/2016 9:30,ATA,TU 32AIMI,12,Common,1:35:00,,717
train_id_2095,1/30/2016,TU,TUN,MIR,1/30/2016 13:10,1/30/2016 13:45,ATA,TU 31AIMK,129,Severe,0:35:00,,930
train_id_2096,1/30/2016,TU,ORY,DJE,1/30/2016 14:15,1/30/2016 17:00,ATA,TU 736IOP,155,Severe,2:45:00,,681
train_id_2105,2/2/2016,TU,ORY,TUN,2/2/2016 10:55,2/2/2016 13:20,ATA,TU 320IMR,50,Medium,2:25:00,,6179
train_id_2109,2/6/2016,TU,TUN,ORY,2/6/2016 12:20,2/6/2016 14:40,ATA,TU 32AIMI,0,ONTIME,2:20:00,,713
train_id_2110,2/8/2016,TU,ORY,TUN,2/8/2016 14:55,2/8/2016 17:20,ATA,TU 32AIMN,0,ONTIME,2:25:00,,720
train_id_2114,2/21/2016,TU,MIR,TUN,2/21/2016 6:00,2/21/2016 6:40,ATA,TU 31BIMQ,0,ONTIME,0:40:00,,283
train_id_2115,2/23/2016,TU,ORY,TUN,2/23/2016 8:00,2/23/2016 10:25,ATA,TU 320IMT,0,ONTIME,2:25:00,,9024
train_id_2116,2/23/2016,TU,TUN,MRS,2/23/2016 7:55,2/23/2016 9:30,ATA,TU 320IMU,0,ONTIME,1:35:00,,725
train_id_2125,5/30/2016,TU,MRS,TUN,5/30/2016 13:50,5/30/2016 15:25,ATA,TU 32AIMM,13,Common,1:35:00,,613
train_id_2130,6/11/2016,TU,DJE,MIR,6/11/2016 4:35,6/11/2016 5:15,ATA,TU 32AIMG,0,ONTIME,0:40:00,,542
train_id_2131,6/18/2016,TU,TUN,MRS,6/18/2016 11:25,6/18/2016 13:00,ATA,TU 32AIML,0,ONTIME,1:35:00,,726
train_id_2132,6/20/2016,TU,MRS,TUN,6/20/2016 13:50,6/20/2016 15:25,ATA,TU 32AIMN,0,ONTIME,1:35:00,,902
train_id_2135,7/2/2016,TU,TUN,MRS,7/2/2016 12:20,7/2/2016 13:55,ATA,TU 320IMU,28,Common,1:35:00,,701
train_id_2136,7/2/2016,TU,ORY,TUN,7/2/2016 12:40,7/2/2016 15:05,ATA,TU 320IMR,8,Common,2:25:00,,902
train_id_2144,7/15/2016,TU,MRS,TUN,7/15/2016 8:50,7/15/2016 10:25,ATA,TU 32AIMG,22,Common,1:35:00,,6551
train_id_2145,7/23/2016,TU,DJE,ORY,7/23/2016 14:50,7/23/2016 17:30,ATA,TU 32AIMF,135,Severe,2:40:00,,931
train_id_2147,7/23/2016,TU,ORY,TUN,7/23/2016 10:15,7/23/2016 12:40,ATA,TU 32AIMH,23,Common,2:25:00,,727
train_id_2148,7/23/2016,TU,MIR,DJE,7/23/2016 13:20,7/23/2016 14:00,ATA,TU 32AIMF,117,Severe,0:40:00,,717
train_id_2150,7/25/2016,TU,TUN,MRS,7/25/2016 6:25,7/25/2016 8:00,ATA,TU 32AIMG,0,ONTIME,1:35:00,,753
train_id_2155,7/30/2016,TU,TUN,ORY,7/30/2016 6:50,7/30/2016 9:10,ATA,TU 320IMU,0,ONTIME,2:20:00,,744
train_id_2157,7/30/2016,TU,ORY,TUN,7/30/2016 10:15,7/30/2016 12:40,ATA,TU 320IMU,19,Common,2:25:00,,553
train_id_2169,8/13/2016,TU,TUN,MRS,8/13/2016 11:25,8/13/2016 13:00,ATA,TU 320IMR,15,Common,1:35:00,,685
train_id_2170,8/20/2016,UG,DJE,TUN,8/20/2016 21:30,8/20/2016 22:20,ATA,TU 736IOM,0,ONTIME,0:50:00,,902
train_id_2175,8/27/2016,TU,TUN,DJE,8/27/2016 21:25,8/27/2016 22:15,ATA,TU 320IMT,142,Severe,0:50:00,,485
train_id_2180,8/28/2016,TU,MRS,MIR,8/28/2016 2:45,8/28/2016 4:20,ATA,TU 332IFM,0,ONTIME,1:35:00,,3402
train_id_2184,8/28/2016,TU,MRS,TUN,8/28/2016 13:50,8/28/2016 15:25,ATA,TU 320IMS,10,Common,1:35:00,,6291
train_id_2189,8/28/2016,TU,MRS,DJE,8/28/2016 15:15,8/28/2016 17:15,ATA,TU 736IOP,35,Medium,2:00:00,,606
train_id_2190,8/29/2016,TU,TUN,DJE,8/29/2016 19:45,8/29/2016 20:40,ATA,TU 736IOM,9,Common,0:55:00,,695
train_id_2199,8/31/2016,TU,ORY,DJE,8/31/2016 9:35,8/31/2016 12:20,ATA,TU 736IOP,0,ONTIME,2:45:00,,712
train_id_2205,8/31/2016,TU,MRS,TUN,8/31/2016 18:40,8/31/2016 20:15,ATA,TU 32AIMF,34,Medium,1:35:00,,399
train_id_2208,8/31/2016,TU,TUN,ORY,8/31/2016 18:20,8/31/2016 20:40,ATA,TU 32AIMH,40,Medium,2:20:00,,607
train_id_2215,9/2/2016,TU,TUN,MRS,9/2/2016 16:15,9/2/2016 17:50,ATA,TU 32AIMI,335,Severe,1:35:00,,5044
train_id_2216,9/2/2016,TU,ORY,TUN,9/2/2016 12:40,9/2/2016 15:05,ATA,TU 32AIMD,35,Medium,2:25:00,,928
train_id_2217,9/2/2016,TU,DJE,ORY,9/2/2016 13:30,9/2/2016 16:10,ATA,TU 31AIMK,25,Common,2:40:00,,719
train_id_2220,9/3/2016,TU,DJE,ORY,9/3/2016 12:00,9/3/2016 14:45,ATA,TU 736IOR,52,Medium,2:45:00,,472
train_id_2221,1/8/2016,TU,TUN,ORY,1/8/2016 10:05,1/8/2016 12:25,ATA,TU 32AIMP,75,Severe,2:20:00,,2600
train_id_2232,3/5/2016,TU,MRS,TUN,3/5/2016 10:20,3/5/2016 11:55,ATA,TU 32AIMD,50,Medium,1:35:00,,539
train_id_2233,3/7/2016,TU,ORY,TUN,3/7/2016 14:55,3/7/2016 17:20,ATA,TU 32AIMG,11,Common,2:25:00,,931
train_id_2234,3/7/2016,UG,TUN,DJE,3/7/2016 14:45,3/7/2016 15:45,ATA,TU 320IMT,19,Common,1:00:00,,719
train_id_2236,3/10/2016,TU,TUN,DJE,3/10/2016 5:20,3/10/2016 6:15,ATA,TU 736IOR,0,ONTIME,0:55:00,,374
train_id_2237,3/10/2016,TU,TUN,TUN,3/10/2016 5:00,3/10/2016 6:00,ATA,TU 32AIMH,12,Common,1:00:00,,9082
train_id_2244,4/8/2016,TU,ORY,DJE,4/8/2016 9:50,4/8/2016 12:35,ATA,TU 31AIMK,41,Medium,2:45:00,,881
train_id_2245,4/8/2016,TU,TUN,ORY,4/8/2016 12:25,4/8/2016 14:45,ATA,TU 320IMV,52,Medium,2:20:00,,635
train_id_2246,4/9/2016,TU,MIR,MRS,4/9/2016 17:00,4/9/2016 18:45,ATA,TU 736IOK,128,Severe,1:45:00,,720
train_id_2250,4/8/2016,TU,MRS,TUN,4/8/2016 13:05,4/8/2016 14:40,ATA,TU 32AIMP,185,Severe,1:35:00,,789
train_id_2253,4/24/2016,TU,ORY,TUN,4/24/2016 10:15,4/24/2016 12:40,ATA,TU 32AIMP,13,Common,2:25:00,,712
train_id_2264,4/26/2016,TU,TUN,MRS,4/26/2016 6:25,4/26/2016 8:00,ATA,TU 32AIMN,0,ONTIME,1:35:00,,363
train_id_2266,6/3/2016,TU,TUN,ORY,6/3/2016 18:20,6/3/2016 20:40,ATA,TU 32AIMI,33,Medium,2:20:00,,226
train_id_2267,6/11/2016,TU,ORY,TUN,6/11/2016 10:15,6/11/2016 12:40,ATA,TU 320IMU,125,Severe,2:25:00,,724
train_id_2272,6/28/2016,TU,TUN,ORY,6/28/2016 6:50,6/28/2016 9:10,ATA,TU 32AIMF,102,Severe,2:20:00,,9436
train_id_2273,6/30/2016,TU,MRS,TUN,6/30/2016 8:50,6/30/2016 10:25,ATA,TU 736IOK,12,Common,1:35:00,,716
train_id_2279,7/20/2016,TU,TUN,ORY,7/20/2016 18:20,7/20/2016 20:40,ATA,TU 32AIMG,26,Common,2:20:00,,624
train_id_2280,7/23/2016,TU,TUN,ORY,7/23/2016 14:30,7/23/2016 16:50,ATA,TU 320IMT,10,Common,2:20:00,,724
train_id_2284,7/23/2016,TU,ORY,TUN,7/23/2016 14:55,7/23/2016 17:20,ATA,TU 332IFM,24,Common,2:25:00,,509
train_id_2286,7/23/2016,TU,ORY,MIR,7/23/2016 14:35,7/23/2016 17:10,ATA,TU 736IOP,30,Common,2:35:00,,283
train_id_2287,7/23/2016,TU,DJE,MIR,7/23/2016 13:45,7/23/2016 14:20,ATA,TU 31AIMJ,0,ONTIME,0:35:00,,441
train_id_2293,7/27/2016,TU,TUN,ORY,7/27/2016 12:25,7/27/2016 14:45,ATA,TU 320IMR,21,Common,2:20:00,,1312
train_id_2295,7/27/2016,TU,DJE,ORY,7/27/2016 13:05,7/27/2016 15:50,ATA,TU 736IOL,9,Common,2:45:00,,246
train_id_2298,7/30/2016,TU,TUN,MRS,7/30/2016 16:15,7/30/2016 17:50,ATA,TU 320IMU,272,Severe,1:35:00,,814
train_id_2301,7/31/2016,TU,ORY,TUN,7/31/2016 14:55,7/31/2016 17:20,ATA,TU 332IFN,44,Medium,2:25:00,,996
train_id_2302,7/31/2016,TU,MRS,DJE,7/31/2016 15:15,7/31/2016 17:15,ATA,TU 736IOR,0,ONTIME,2:00:00,,721
train_id_2304,8/4/2016,TU,TUN,ORY,8/4/2016 13:55,8/4/2016 16:20,ATA,TU 332IFN,40,Medium,2:25:00,,620
train_id_2305,8/8/2016,TU,TUN,MRS,8/8/2016 11:25,8/8/2016 13:00,ATA,TU 32AIML,10,Common,1:35:00,,722
train_id_2308,8/8/2016,TU,DJE,TUN,8/8/2016 14:00,8/8/2016 14:50,ATA,TU 736IOR,0,ONTIME,0:50:00,,683
train_id_2322,8/22/2016,TU,TUN,ORY,8/22/2016 12:25,8/22/2016 14:45,ATA,TU 320IMW,6,Common,2:20:00,,625
train_id_2325,8/22/2016,TU,MRS,DJE,8/22/2016 16:05,8/22/2016 18:05,ATA,TU 736IOL,0,ONTIME,2:00:00,,375
train_id_2326,8/22/2016,TU,TUN,ORY,8/22/2016 18:20,8/22/2016 20:40,ATA,TU 32AIMD,43,Medium,2:20:00,,695
train_id_2330,8/22/2016,TU,MRS,TUN,8/22/2016 18:40,8/22/2016 20:15,ATA,TU 32AIML,19,Common,1:35:00,,814
train_id_2332,8/23/2016,TU,TUN,DJE,8/23/2016 3:05,8/23/2016 3:50,ATA,TU 736IOK,0,ONTIME,0:45:00,,3447
train_id_2333,8/23/2016,TU,DJE,TUN,8/23/2016 4:30,8/23/2016 5:20,ATA,TU 736IOK,7,Common,0:50:00,,9055
train_id_2336,8/23/2016,TU,DJE,ORY,8/23/2016 6:05,8/23/2016 8:50,ATA,TU 736IOP,0,ONTIME,2:45:00,,5012
train_id_2341,8/23/2016,TU,ORY,TUN,8/23/2016 6:00,8/23/2016 8:25,ATA,TU 32AIMD,9,Common,2:25:00,,602
train_id_2346,8/23/2016,TU,TUN,MRS,8/23/2016 6:25,8/23/2016 8:00,ATA,TU 32AIMF,51,Medium,1:35:00,,7240
train_id_2348,8/23/2016,TU,TUN,ORY,8/23/2016 6:50,8/23/2016 9:10,ATA,5M 343SUN,50,Medium,2:20:00,,711
train_id_2354,8/23/2016,TU,MIR,DJE,8/23/2016 14:40,8/23/2016 15:25,ATA,TU 736IOL,9,Common,0:45:00,,727
train_id_2357,8/23/2016,TU,MRS,TUN,8/23/2016 8:50,8/23/2016 10:25,ATA,TU 32AIMF,36,Medium,1:35:00,,3419
train_id_2366,8/23/2016,TU,TUN,MRS,8/23/2016 13:55,8/23/2016 15:30,ATA,TU 320IMS,49,Medium,1:35:00,,756
train_id_2368,8/23/2016,TU,ORY,TUN,8/23/2016 12:40,8/23/2016 15:05,ATA,TU 32AIMD,25,Common,2:25:00,,9111
train_id_2374,8/23/2016,TU,DJE,MIR,8/23/2016 14:00,8/23/2016 14:45,ATA,TU 736IOK,0,ONTIME,0:45:00,,700
train_id_2386,8/23/2016,TU,ORY,TUN,8/23/2016 15:45,8/23/2016 18:10,ATA,TU 32AIMF,0,ONTIME,2:25:00,,375
train_id_2403,8/23/2016,TU,ORY,TUN,8/23/2016 17:50,8/23/2016 20:15,ATA,5K 343TQY,25,Common,2:25:00,,5009
train_id_2404,8/23/2016,TU,TUN,ORY,8/23/2016 18:20,8/23/2016 20:40,ATA,TU 320IMV,37,Medium,2:20:00,,723
train_id_2411,6/8/2016,TU,TUN,DJE,6/8/2016 13:55,6/8/2016 14:50,ATA,TU 32AIMN,0,ONTIME,0:55:00,,695
train_id_2417,6/9/2016,TU,TUN,ORY,6/9/2016 13:55,6/9/2016 16:20,ATA,TU 31BIMO,0,ONTIME,2:25:00,,734
train_id_2420,6/9/2016,TU,TUN,DJE,6/9/2016 14:30,6/9/2016 15:20,ATA,TU 32AIMG,0,ONTIME,0:50:00,,251
train_id_2421,6/9/2016,TU,ORY,TUN,6/9/2016 15:45,6/9/2016 18:10,ATA,TU 32AIMI,31,Medium,2:25:00,,9038
train_id_2427,6/9/2016,TU,MIR,DJE,6/9/2016 17:05,6/9/2016 17:45,ATA,TU 31AIMJ,0,ONTIME,0:40:00,,216
train_id_2429,6/9/2016,TU,MRS,TUN,6/9/2016 16:35,6/9/2016 18:10,ATA,TU 320IMU,0,ONTIME,1:35:00,,431
train_id_2448,6/10/2016,TU,DJE,ORY,6/10/2016 6:05,6/10/2016 8:50,ATA,TU 31AIMJ,0,ONTIME,2:45:00,,880
train_id_2449,6/10/2016,TU,TUN,MRS,6/10/2016 6:25,6/10/2016 8:00,ATA,TU 31BIMQ,0,ONTIME,1:35:00,,634
train_id_2450,6/10/2016,TU,DJE,TUN,6/10/2016 6:30,6/10/2016 7:20,ATA,TU 32AIMG,0,ONTIME,0:50:00,,930
train_id_2453,6/10/2016,TU,TUN,ORY,6/10/2016 6:50,6/10/2016 9:10,ATA,TU 32AIMI,13,Common,2:20:00,,282
train_id_2466,6/10/2016,TU,ORY,TUN,6/10/2016 10:15,6/10/2016 12:40,ATA,TU 32AIMI,21,Common,2:25:00,,712
train_id_2468,6/10/2016,TU,TUN,MRS,6/10/2016 11:25,6/10/2016 13:00,ATA,TU 320IMR,0,ONTIME,1:35:00,,789
train_id_2471,6/10/2016,TU,TUN,ORY,6/10/2016 13:55,6/10/2016 16:20,ATA,TU 32AIMI,6,Common,2:25:00,,246
train_id_2474,6/10/2016,TU,MIR,ORY,6/10/2016 15:00,6/10/2016 17:25,ATA,TU 31AIMJ,0,ONTIME,2:25:00,,606
train_id_2475,6/10/2016,TU,TUN,DJE,6/10/2016 15:20,6/10/2016 16:15,ATA,TU 32AIMG,0,ONTIME,0:55:00,,734
train_id_2479,6/10/2016,TU,ORY,TUN,6/10/2016 17:50,6/10/2016 20:20,ATA,TU 32AIMI,0,ONTIME,2:30:00,,555
train_id_2480,6/10/2016,TU,TUN,ORY,6/10/2016 18:20,6/10/2016 20:40,ATA,TU 32AIMM,0,ONTIME,2:20:00,,723
train_id_2488,6/11/2016,TU,DJE,ORY,6/11/2016 6:05,6/11/2016 8:50,ATA,TU 31AIMK,0,ONTIME,2:45:00,,4750
train_id_2491,6/11/2016,TU,TUN,TUN,6/11/2016 6:50,6/11/2016 9:10,RTR,TU 320IMU,0,ONTIME,2:20:00,,540
train_id_2492,6/11/2016,TU,TUN,ORY,6/11/2016 6:50,6/11/2016 9:10,ATA,TU 320IMU,119,Severe,2:20:00,,716
train_id_2494,6/11/2016,TU,DJE,TUN,6/11/2016 14:50,6/11/2016 15:40,ATA,TU 32AIMG,0,ONTIME,0:50:00,,788
train_id_2496,6/11/2016,TU,ORY,TUN,6/11/2016 12:40,6/11/2016 15:05,ATA,TU 32AIMM,7,Common,2:25:00,,752
train_id_2497,6/11/2016,TU,MIR,DJE,6/11/2016 13:20,6/11/2016 14:00,ATA,TU 32AIMG,0,ONTIME,0:40:00,,719
train_id_2498,6/11/2016,TU,TUN,DJE,6/11/2016 13:45,6/11/2016 14:40,ATA,TU 32AIMN,0,ONTIME,0:55:00,,727
train_id_2506,6/11/2016,TU,ORY,TUN,6/11/2016 17:50,6/11/2016 20:15,ATA,TU 320IMW,0,ONTIME,2:25:00,,319
train_id_2508,6/11/2016,TU,TUN,DJE,6/11/2016 19:55,6/11/2016 20:50,ATA,TU 736IOK,0,ONTIME,0:55:00,,9007
train_id_2514,6/12/2016,TU,DJE,MRS,6/12/2016 12:25,6/12/2016 14:25,ATA,TU 736IOR,0,ONTIME,2:00:00,,8539
train_id_2515,6/12/2016,TU,DJE,ORY,6/12/2016 12:30,6/12/2016 15:10,ATA,TU 31AIMK,0,ONTIME,2:40:00,,694
train_id_2516,6/12/2016,TU,ORY,TUN,6/12/2016 12:40,6/12/2016 15:05,ATA,TU 32AIML,0,ONTIME,2:25:00,,634
train_id_2518,6/12/2016,TU,TUN,ORY,6/12/2016 14:30,6/12/2016 16:50,ATA,TU 32AIMN,0,ONTIME,2:20:00,,850
train_id_2519,6/12/2016,UG,TUN,DJE,6/12/2016 14:30,6/12/2016 15:30,ATA,TU 320IMW,30,Common,1:00:00,,722
train_id_2524,6/12/2016,TU,TUN,TUN,6/12/2016 18:20,6/12/2016 20:40,ATA,TU 32AIMF,0,ONTIME,2:20:00,,607
train_id_2528,6/13/2016,TU,ORY,TUN,6/13/2016 6:00,6/13/2016 8:25,ATA,TU 32AIMM,155,Severe,2:25:00,,9020
train_id_2529,6/13/2016,TU,DJE,TUN,6/13/2016 6:25,6/13/2016 7:15,ATA,TU 736IOK,0,ONTIME,0:50:00,,725
train_id_2532,6/13/2016,TU,DJE,TUN,6/13/2016 12:00,6/13/2016 12:50,ATA,TU 736IOR,25,Common,0:50:00,,745
train_id_2533,6/13/2016,TU,TUN,DJE,6/13/2016 13:20,6/13/2016 14:15,ATA,TU 736IOK,0,ONTIME,0:55:00,,554
train_id_2536,6/13/2016,TU,DJE,MIR,6/13/2016 13:30,6/13/2016 14:10,ATA,TU 31AIMK,13,Common,0:40:00,,282
train_id_2537,6/13/2016,TU,MRS,TUN,6/13/2016 13:50,6/13/2016 15:25,ATA,TU 32AIMM,0,ONTIME,1:35:00,,734
train_id_2546,6/13/2016,TU,TUN,DJE,6/13/2016 19:40,6/13/2016 20:35,ATA,TU 736IOR,35,Medium,0:55:00,,913
train_id_2547,6/13/2016,TU,MIR,DJE,6/13/2016 21:35,6/13/2016 22:15,ATA,TU 31AIMK,0,ONTIME,0:40:00,,555
train_id_2549,6/14/2016,TU,TUN,MRS,6/14/2016 6:25,6/14/2016 8:00,ATA,TU 32AIML,0,ONTIME,1:35:00,,226
train_id_2550,6/14/2016,TU,TUN,ORY,6/14/2016 6:50,6/14/2016 9:10,ATA,TU 32AIMG,5,Common,2:20:00,,930
train_id_2553,6/14/2016,TU,MRS,TUN,6/14/2016 8:50,6/14/2016 10:25,ATA,TU 32AIML,0,ONTIME,1:35:00,,726
train_id_2559,6/14/2016,TU,MIR,DJE,6/14/2016 14:40,6/14/2016 15:25,ATA,TU 736IOR,0,ONTIME,0:45:00,,756
train_id_2560,6/14/2016,TU,TUN,ORY,6/14/2016 13:55,6/14/2016 16:20,ATA,TU 320IMS,0,ONTIME,2:25:00,,727
train_id_2570,6/15/2016,TU,DJE,ORY,6/15/2016 6:05,6/15/2016 8:50,ATA,TU 736ION,0,ONTIME,2:45:00,,6040
train_id_2572,6/15/2016,TU,DJE,TUN,6/15/2016 6:40,6/15/2016 7:30,ATA,TU 32AIMI,0,ONTIME,0:50:00,,790
train_id_2573,6/15/2016,TU,TUN,MRS,6/15/2016 6:25,6/15/2016 8:00,ATA,TU 320IMW,4,Common,1:35:00,,700
train_id_2577,6/15/2016,TU,TUN,ORY,6/15/2016 6:50,6/15/2016 9:10,ATA,TU 320IMR,15,Common,2:20:00,,711
train_id_2582,6/15/2016,TU,MRS,TUN,6/15/2016 8:50,6/15/2016 10:25,ATA,TU 320IMW,5,Common,1:35:00,,283
train_id_2590,6/15/2016,TU,ORY,TUN,6/15/2016 10:15,6/15/2016 12:40,ATA,TU 320IMR,10,Common,2:25:00,,712
train_id_2598,6/15/2016,TU,TUN,MRS,6/15/2016 11:25,6/15/2016 13:00,ATA,TU 320IMW,4,Common,1:35:00,,701
train_id_2601,6/15/2016,TU,ORY,TUN,6/15/2016 17:50,6/15/2016 20:15,ATA,TU 32AIML,0,ONTIME,2:25:00,,216
train_id_2611,6/16/2016,TU,MRS,TUN,6/16/2016 8:50,6/16/2016 10:25,ATA,TU 32AIMN,0,ONTIME,1:35:00,,856
train_id_2612,6/16/2016,TU,TUN,ORY,6/16/2016 13:55,6/16/2016 16:20,ATA,TU 32AIMM,0,ONTIME,2:25:00,,931
train_id_2615,1/4/2016,TU,TUN,MRS,1/4/2016 13:15,1/4/2016 14:55,ATA,TU 736IOL,29,Common,1:40:00,,701
train_id_2623,3/24/2016,TU,TUN,ORY,3/24/2016 7:35,3/24/2016 9:55,ATA,TU 31BIMO,0,ONTIME,2:20:00,,813
train_id_2625,3/28/2016,TU,TUN,MIR,3/28/2016 11:45,3/28/2016 12:20,ATA,TU 32AIML,0,ONTIME,0:35:00,,647
train_id_2626,3/28/2016,TU,MIR,ORY,3/28/2016 11:00,3/28/2016 13:30,ATA,TU 736IOK,14,Common,2:30:00,,9039
train_id_2629,4/14/2016,TU,TUN,ORY,4/14/2016 12:25,4/14/2016 14:45,ATA,TU 32AIMF,0,ONTIME,2:20:00,,756
train_id_2637,6/6/2016,TU,ORY,TUN,6/6/2016 10:15,6/6/2016 12:40,ATA,TU 32AIMG,19,Common,2:25:00,,712
train_id_2638,6/11/2016,TU,DJE,TUN,6/11/2016 12:35,6/11/2016 13:25,ATA,TU 736IOK,0,ONTIME,0:50:00,,717
train_id_2640,7/2/2016,TU,MRS,TUN,7/2/2016 14:45,7/2/2016 16:20,ATA,TU 320IMU,32,Medium,1:35:00,,3523
train_id_2641,7/3/2016,TU,MRS,TUN,7/3/2016 20:15,7/3/2016 21:50,ATA,TU 31BIMQ,38,Medium,1:35:00,,903
train_id_2644,7/10/2016,TU,TUN,ORY,7/10/2016 9:20,7/10/2016 11:40,ATA,TU 32AIMI,11,Common,2:20:00,,629
train_id_2646,7/10/2016,TU,DJE,MRS,7/10/2016 12:25,7/10/2016 14:25,ATA,TU 736IOL,20,Common,2:00:00,,7454
train_id_2661,7/23/2016,TU,DJE,MIR,7/23/2016 4:35,7/23/2016 5:15,ATA,TU 32AIMF,210,Severe,0:40:00,,997
train_id_2668,7/31/2016,TU,TUN,ORY,7/31/2016 10:50,7/31/2016 13:15,ATA,TU 332IFN,36,Medium,2:25:00,,515
train_id_2673,7/31/2016,TU,DJE,DJE,7/31/2016 11:30,7/31/2016 13:55,RTR,TU 736IOL,12,Common,2:25:00,,363
train_id_2674,7/31/2016,TU,TUN,MRS,7/31/2016 11:25,7/31/2016 13:00,ATA,TU 32AIMH,14,Common,1:35:00,,874
train_id_2684,8/27/2016,TU,DJE,ORY,8/27/2016 12:20,8/27/2016 15:05,ATA,TU 736IOR,10,Common,2:45:00,,643
train_id_2686,8/27/2016,TU,DJE,MRS,8/27/2016 23:05,8/28/2016 1:05,ATA,TU 332IFM,42,Medium,2:00:00,,2821
train_id_2693,8/29/2016,TU,MRS,TUN,8/29/2016 23:10,8/30/2016 0:40,ATA,TU 320IMU,0,ONTIME,1:30:00,,3022
train_id_2698,8/31/2016,TU,ORY,TUN,8/31/2016 10:40,8/31/2016 13:10,ATA,5M 343SUN,35,Medium,2:30:00,,514
train_id_2700,8/31/2016,TU,TUN,MRS,8/31/2016 11:25,8/31/2016 13:00,ATA,TU 320IMV,60,Medium,1:35:00,,701
train_id_2703,8/31/2016,TU,TUN,ORY,8/31/2016 14:30,8/31/2016 16:50,ATA,TU 32AIML,137,Severe,2:20:00,,857
train_id_2720,9/1/2016,TU,MRS,TUN,9/1/2016 8:50,9/1/2016 10:25,ATA,TU 32AIMD,14,Common,1:35:00,,3082
train_id_2727,9/1/2016,TU,MIR,ORY,9/1/2016 11:00,9/1/2016 13:30,ATA,TU 736IOL,13,Common,2:30:00,,709
train_id_2730,9/1/2016,TU,DJE,MRS,9/1/2016 11:45,9/1/2016 13:45,ATA,TU 736ION,0,ONTIME,2:00:00,,374
train_id_2734,9/1/2016,TU,TUN,ORY,9/1/2016 12:25,9/1/2016 14:45,ATA,TU 32AIML,0,ONTIME,2:20:00,,250
train_id_2737,9/1/2016,TU,ORY,TUN,9/1/2016 12:40,9/1/2016 15:05,ATA,TU 32AIMH,30,Common,2:25:00,,756
